fiscal_year,Five Year Plan,Controller,tax_name
2015,209647767.52264443,209647767.52264443,RTT
2016,241304239.22416365,241304239.22416365,RTT
2017,250336858.5829246,250336858.5829246,RTT
2018,278862046.5152099,278862046.5152099,RTT
2019,296227838.24885213,296227838.24885213,RTT
2020,291777831.3874479,291777831.3874479,RTT
2021,313330020.0692629,313330020.0692629,RTT
2022,571785968.1563371,571785968.1563371,RTT
2023,394167835.5139231,394167835.5139231,RTT
2024,388930000.0,333285196.13616997,RTT
2025,396709000.0,337661362.6652149,RTT
2026,404643000.0,387702614.4153731,RTT
2027,412736000.0,446573572.94023585,RTT
2028,421032000.0,482886273.8934793,RTT
1997,9019185.069999998,9019185.069999998,NPT
1998,10193941.55,10193941.55,NPT
1999,13091108.65,13091108.65,NPT
2000,9914416.199999997,9914416.199999997,NPT
2001,10581816.130000003,10581816.130000003,NPT
2002,11357883.249999998,11357883.249999998,NPT
2003,10124345.459999999,10124345.459999999,NPT
2004,11287029.269999998,11287029.269999998,NPT
2005,11971029.47,11971029.47,NPT
2006,11821897.08,11821897.08,NPT
2007,10936182.529999997,10936182.529999997,NPT
2008,9109067.060000002,9109067.060000002,NPT
2009,9471672.05,9471672.05,NPT
2010,12057793.59,12057793.59,NPT
2011,5740359.079999998,5740359.079999998,NPT
2012,12192064.98,12192064.98,NPT
2013,17230166.95,17230166.95,NPT
2014,13179243.799999999,13179243.799999999,NPT
2015,14692134.000000002,14692134.000000002,NPT
2016,23333000.0,23333000.0,NPT
2017,25330000.0,25330000.0,NPT
2018,27608000.0,27608000.0,NPT
2019,29454999.999999996,29454999.999999996,NPT
2020,22538999.999999996,22538999.999999996,NPT
2021,42513642.84000001,42513642.84000001,NPT
2022,21963184.87,21963184.87,NPT
2023,40909000.00000001,40909000.00000001,NPT
2024,42340000.0,30662625.43849284,NPT
2025,44851000.0,39006080.93493827,NPT
2026,46093000.0,35041175.26391304,NPT
2027,48628000.0,39398124.11610685,NPT
2028,51580000.0,38135037.38224315,NPT
