Date,ConsumerConfidence
1996-05-01,100.664807040953
1996-06-01,100.775845014848
1996-07-01,100.938911174595
1996-08-01,101.061743120024
1996-09-01,101.154532721987
1996-10-01,101.279503851099
1996-11-01,101.385713101603
1996-12-01,101.401307684767
1997-01-01,101.45315971214
1997-02-01,101.573701194744
1997-03-01,101.709413410835
1997-04-01,101.877855840951
1997-05-01,102.068158788909
1997-06-01,102.241536858077
1997-07-01,102.358215025927
1997-08-01,102.360938202232
1997-09-01,102.372068315953
1997-10-01,102.365017605168
1997-11-01,102.346210967801
1997-12-01,102.313863556301
1998-01-01,102.469879879455
1998-02-01,102.636718983449
1998-03-01,102.644450684988
1998-04-01,102.622511070369
1998-05-01,102.521307911844
1998-06-01,102.399662420858
1998-07-01,102.260510267956
1998-08-01,102.063932562513
1998-09-01,101.818034889526
1998-10-01,101.67897878283
1998-11-01,101.774489632096
1998-12-01,101.920523023545
1999-01-01,102.165372679171
1999-02-01,102.378134926679
1999-03-01,102.414180530807
1999-04-01,102.409260165012
1999-05-01,102.453820110661
1999-06-01,102.465171553514
1999-07-01,102.408432776698
1999-08-01,102.345519112995
1999-09-01,102.334994094289
1999-10-01,102.313958929849
1999-11-01,102.434421058792
1999-12-01,102.601598153402
2000-01-01,102.836187151309
2000-02-01,102.889958138373
2000-03-01,102.807671766643
2000-04-01,102.788830314084
2000-05-01,102.763096337135
2000-06-01,102.662567982853
2000-07-01,102.628537151287
2000-08-01,102.593081851547
2000-09-01,102.542394334906
2000-10-01,102.431553604256
2000-11-01,102.174871535614
2000-12-01,101.636050818483
2001-01-01,101.102096047007
2001-02-01,100.711852766503
2001-03-01,100.543435920901
2001-04-01,100.509673693086
2001-05-01,100.635138861758
2001-06-01,100.71579437937
2001-07-01,100.627986248473
2001-08-01,100.320197678275
2001-09-01,99.8767206574758
2001-10-01,99.7168300132171
2001-11-01,99.8676373661441
2001-12-01,100.232596285919
2002-01-01,100.585514286633
2002-02-01,100.79693957941
2002-03-01,100.988110790879
2002-04-01,101.04196125275
2002-05-01,101.01536174175
2002-06-01,100.759426483993
2002-07-01,100.416775548082
2002-08-01,100.134397546595
2002-09-01,99.887364573782
2002-10-01,99.7008688119159
2002-11-01,99.7162313186785
2002-12-01,99.7136424424782
2003-01-01,99.5312573607015
2003-02-01,99.3694919316185
